Booking ID,Customer ID,Booking Date,Check-in Date,Check-out Date,Booking Platform,Payment Method,Loyalty Membership Status,Room Type,Booking Amount,Discount Applied,Cancellation Status
BK00348,CUST4936,1/1/2024,1/26/2024,1/31/2024,Mobile App,Credit Card,Platinum,Suite,202.33,5,Yes
BK00427,CUST2047,1/1/2024,1/14/2024,1/21/2024,Mobile App,Points Redemption,Titanium,Deluxe,1219.04,10,No
BK00011,CUST5878,1/2/2024,1/21/2024,1/23/2024,Mobile App,Credit Card,Titanium,Presidential Suite,427.16,10,No
BK00026,CUST5834,1/2/2024,1/28/2024,2/6/2024,Third-Party OTA,PayPal,Silver,Deluxe,450.89,20,Yes
BK00050,CUST1042,1/2/2024,1/20/2024,1/23/2024,Website,Bank Transfer,Platinum,Standard,863.59,20,Yes
BK00467,CUST5145,1/2/2024,1/26/2024,1/31/2024,Third-Party OTA,Points Redemption,Platinum,Suite,162.11,10,No
BK00032,CUST9253,1/3/2024,1/10/2024,1/15/2024,Mobile App,Bank Transfer,Ambassador,Suite,905.08,0,No
BK00137,CUST8770,1/3/2024,1/5/2024,1/15/2024,Third-Party OTA,Points Redemption,Titanium,Standard,576.01,0,Yes
BK00240,CUST2990,1/3/2024,1/29/2024,2/5/2024,Mobile App,Bank Transfer,Platinum,Deluxe,135.9,20,Yes
BK00014,CUST6839,1/4/2024,1/31/2024,2/6/2024,Third-Party OTA,Bank Transfer,Gold,Presidential Suite,393,20,Yes
BK00138,CUST3572,1/4/2024,1/5/2024,1/7/2024,Mobile App,Points Redemption,Gold,Standard,1074.04,10,No
BK00204,CUST8898,1/4/2024,2/2/2024,2/10/2024,Third-Party OTA,Points Redemption,Titanium,Presidential Suite,1335.65,5,No
BK00235,CUST4980,1/4/2024,1/6/2024,1/7/2024,Website,Credit Card,Ambassador,Standard,693.55,10,Yes
BK00236,CUST8478,1/4/2024,1/20/2024,1/24/2024,Mobile App,Credit Card,Non-Member,Suite,730.06,25,Yes
BK00259,CUST6748,1/4/2024,1/27/2024,2/6/2024,Mobile App,Points Redemption,Silver,Presidential Suite,1404.11,10,Yes
BK00298,CUST3918,1/4/2024,1/15/2024,1/16/2024,Third-Party OTA,Points Redemption,Silver,Presidential Suite,1165.72,10,No
BK00079,CUST9465,1/5/2024,1/9/2024,1/18/2024,Third-Party OTA,Credit Card,Non-Member,Deluxe,1332.97,15,Yes
BK00139,CUST3056,1/5/2024,2/3/2024,2/6/2024,Website,Credit Card,Titanium,Presidential Suite,1107.73,5,No
BK00215,CUST3658,1/5/2024,1/13/2024,1/18/2024,Mobile App,Credit Card,Platinum,Standard,799.37,20,Yes
BK00257,CUST5701,1/5/2024,1/28/2024,2/7/2024,Website,Credit Card,Gold,Deluxe,393.43,5,No
BK00335,CUST4784,1/5/2024,1/15/2024,1/23/2024,Website,Bank Transfer,Non-Member,Presidential Suite,351.6,20,No
BK00385,CUST1811,1/5/2024,1/14/2024,1/20/2024,Mobile App,Credit Card,Ambassador,Suite,700.43,10,No
BK00395,CUST7546,1/5/2024,1/10/2024,1/16/2024,Mobile App,Points Redemption,Titanium,Standard,803.28,10,No
BK00168,CUST4014,1/6/2024,1/7/2024,1/16/2024,Website,Points Redemption,Gold,Deluxe,657.19,10,No
BK00183,CUST8817,1/6/2024,1/17/2024,1/25/2024,Mobile App,PayPal,Titanium,Standard,893.46,0,No
BK00219,CUST8163,1/6/2024,2/5/2024,2/8/2024,Third-Party OTA,Points Redemption,Silver,Standard,1488.66,10,Yes
BK00404,CUST5642,1/6/2024,1/18/2024,1/27/2024,Mobile App,Bank Transfer,Gold,Deluxe,898.28,5,Yes
BK00172,CUST3494,1/7/2024,1/15/2024,1/24/2024,Website,Points Redemption,Platinum,Standard,377.09,25,Yes
BK00260,CUST3776,1/7/2024,1/10/2024,1/19/2024,Website,PayPal,Platinum,Deluxe,1268.85,20,Yes
BK00341,CUST3749,1/7/2024,2/6/2024,2/10/2024,Third-Party OTA,PayPal,Gold,Standard,1265.68,10,Yes
BK00392,CUST9552,1/7/2024,2/1/2024,2/9/2024,Third-Party OTA,Points Redemption,Platinum,Deluxe,1198.3,20,No
BK00255,CUST3449,1/8/2024,1/17/2024,1/19/2024,Website,Points Redemption,Silver,Presidential Suite,581.25,0,Yes
BK00351,CUST7245,1/8/2024,1/22/2024,1/28/2024,Third-Party OTA,Points Redemption,Gold,Standard,764.08,15,No
BK00439,CUST6477,1/8/2024,2/6/2024,2/13/2024,Website,Credit Card,Silver,Deluxe,299.29,20,Yes
BK00015,CUST6066,1/9/2024,1/28/2024,2/2/2024,Third-Party OTA,Credit Card,Titanium,Suite,1135.62,10,No
BK00056,CUST2862,1/9/2024,2/3/2024,2/6/2024,Website,Bank Transfer,Ambassador,Presidential Suite,807.27,20,Yes
BK00092,CUST7164,1/9/2024,1/18/2024,1/22/2024,Mobile App,Bank Transfer,Ambassador,Suite,215.35,0,No
BK00252,CUST1316,1/9/2024,1/15/2024,1/19/2024,Third-Party OTA,Credit Card,Silver,Presidential Suite,252.56,10,No
BK00292,CUST8188,1/9/2024,1/17/2024,1/19/2024,Mobile App,Points Redemption,Gold,Deluxe,560.82,20,No
BK00410,CUST5052,1/9/2024,1/12/2024,1/17/2024,Mobile App,Bank Transfer,Silver,Presidential Suite,259.23,15,No
BK00120,CUST4957,1/10/2024,2/7/2024,2/12/2024,Third-Party OTA,PayPal,Ambassador,Standard,573.98,0,Yes
BK00145,CUST1381,1/10/2024,1/21/2024,1/24/2024,Third-Party OTA,Points Redemption,Titanium,Presidential Suite,1183.14,10,No
BK00225,CUST3956,1/10/2024,1/28/2024,1/29/2024,Mobile App,Credit Card,Silver,Standard,453.76,0,No
BK00355,CUST8056,1/10/2024,1/27/2024,1/29/2024,Mobile App,Credit Card,Titanium,Standard,1488.79,20,Yes
BK00097,CUST8730,1/11/2024,1/23/2024,1/28/2024,Website,Bank Transfer,Gold,Deluxe,1071.67,25,Yes
BK00131,CUST3249,1/11/2024,1/16/2024,1/26/2024,Mobile App,PayPal,Ambassador,Deluxe,574.17,15,No
BK00244,CUST9340,1/11/2024,1/25/2024,1/27/2024,Third-Party OTA,Credit Card,Ambassador,Suite,452.46,0,No
BK00094,CUST4412,1/12/2024,1/18/2024,1/24/2024,Third-Party OTA,PayPal,Titanium,Standard,842.59,5,No
BK00162,CUST5672,1/12/2024,2/4/2024,2/10/2024,Website,PayPal,Titanium,Presidential Suite,1152.41,20,No
BK00272,CUST6302,1/12/2024,2/11/2024,2/17/2024,Website,Credit Card,Titanium,Standard,650.18,10,No
BK00315,CUST3401,1/12/2024,2/8/2024,2/11/2024,Mobile App,Points Redemption,Non-Member,Deluxe,404.44,0,Yes
BK00045,CUST6332,1/13/2024,1/15/2024,1/25/2024,Third-Party OTA,PayPal,Silver,Presidential Suite,398.72,0,No
BK00133,CUST9988,1/13/2024,2/4/2024,2/10/2024,Mobile App,PayPal,Silver,Standard,671.46,25,No
BK00253,CUST1905,1/13/2024,2/12/2024,2/19/2024,Third-Party OTA,Credit Card,Ambassador,Standard,1382.32,20,Yes
BK00082,CUST1078,1/14/2024,1/23/2024,1/24/2024,Website,Bank Transfer,Titanium,Presidential Suite,863.66,20,No
BK00207,CUST2612,1/14/2024,2/10/2024,2/16/2024,Third-Party OTA,Credit Card,Titanium,Deluxe,610.71,15,No
BK00358,CUST1578,1/14/2024,1/29/2024,2/7/2024,Third-Party OTA,PayPal,Silver,Suite,1152.23,25,Yes
BK00129,CUST4954,1/15/2024,2/8/2024,2/17/2024,Website,Credit Card,Titanium,Presidential Suite,1005.82,10,No
BK00216,CUST7381,1/15/2024,1/17/2024,1/24/2024,Third-Party OTA,Points Redemption,Platinum,Suite,439.74,15,Yes
BK00220,CUST8974,1/15/2024,2/13/2024,2/18/2024,Third-Party OTA,Credit Card,Platinum,Suite,1238.2,10,Yes
BK00227,CUST3001,1/15/2024,1/19/2024,1/21/2024,Website,Credit Card,Gold,Standard,1422.7,5,No
BK00466,CUST1687,1/15/2024,1/19/2024,1/28/2024,Website,Bank Transfer,Gold,Deluxe,499.21,25,Yes
BK00069,CUST7862,1/16/2024,2/15/2024,2/17/2024,Website,PayPal,Non-Member,Suite,1223.21,15,Yes
BK00349,CUST6577,1/16/2024,2/12/2024,2/13/2024,Website,Points Redemption,Silver,Presidential Suite,204.28,20,Yes
BK00002,CUST5751,1/17/2024,1/20/2024,1/27/2024,Mobile App,Bank Transfer,Ambassador,Suite,699.68,25,No
BK00189,CUST9129,1/17/2024,2/8/2024,2/15/2024,Website,Bank Transfer,Platinum,Deluxe,283.74,15,No
BK00214,CUST7388,1/17/2024,1/19/2024,1/20/2024,Third-Party OTA,Bank Transfer,Platinum,Suite,1171.93,10,Yes
BK00221,CUST6580,1/17/2024,1/27/2024,2/5/2024,Mobile App,PayPal,Gold,Presidential Suite,1217.3,15,Yes
BK00223,CUST7978,1/17/2024,1/29/2024,1/31/2024,Third-Party OTA,Bank Transfer,Non-Member,Presidential Suite,503.38,15,Yes
BK00493,CUST3369,1/17/2024,2/13/2024,2/16/2024,Mobile App,Bank Transfer,Non-Member,Deluxe,244.81,20,No
BK00149,CUST9759,1/18/2024,1/31/2024,2/8/2024,Third-Party OTA,Credit Card,Silver,Deluxe,1227.14,15,No
BK00169,CUST2286,1/18/2024,1/30/2024,2/6/2024,Mobile App,PayPal,Ambassador,Suite,609.3,25,Yes
BK00195,CUST8342,1/18/2024,1/31/2024,2/2/2024,Website,Bank Transfer,Non-Member,Deluxe,711.11,20,No
BK00010,CUST3135,1/19/2024,1/22/2024,1/29/2024,Mobile App,Credit Card,Titanium,Presidential Suite,974.93,10,No
BK00028,CUST6510,1/19/2024,2/5/2024,2/12/2024,Mobile App,Bank Transfer,Non-Member,Standard,204.65,15,No
BK00100,CUST9205,1/19/2024,1/31/2024,2/7/2024,Website,PayPal,Ambassador,Presidential Suite,183.71,20,Yes
BK00166,CUST2298,1/19/2024,1/25/2024,1/31/2024,Website,Points Redemption,Platinum,Deluxe,189.48,10,No
BK00237,CUST2715,1/19/2024,2/11/2024,2/16/2024,Website,PayPal,Ambassador,Deluxe,1072.89,10,Yes
BK00303,CUST1031,1/19/2024,1/31/2024,2/10/2024,Website,Bank Transfer,Gold,Suite,470.93,0,Yes
BK00488,CUST1770,1/19/2024,1/27/2024,2/2/2024,Website,Bank Transfer,Ambassador,Suite,1030.62,15,Yes
BK00499,CUST3890,1/19/2024,1/29/2024,2/6/2024,Website,PayPal,Ambassador,Presidential Suite,412,5,No
BK00034,CUST4276,1/20/2024,2/14/2024,2/15/2024,Third-Party OTA,Bank Transfer,Silver,Standard,1449.36,15,Yes
BK00052,CUST3416,1/20/2024,1/22/2024,1/27/2024,Mobile App,PayPal,Platinum,Presidential Suite,570.36,15,No
BK00304,CUST3504,1/20/2024,2/3/2024,2/10/2024,Website,Bank Transfer,Silver,Standard,321.58,10,Yes
BK00142,CUST5408,1/21/2024,2/5/2024,2/11/2024,Mobile App,Bank Transfer,Silver,Presidential Suite,273.16,20,No
BK00184,CUST9769,1/21/2024,1/31/2024,2/8/2024,Third-Party OTA,Points Redemption,Gold,Standard,483.35,5,Yes
BK00202,CUST8972,1/21/2024,2/13/2024,2/21/2024,Mobile App,Bank Transfer,Platinum,Presidential Suite,816.08,25,No
BK00212,CUST5680,1/21/2024,1/23/2024,2/1/2024,Website,Credit Card,Gold,Deluxe,568.04,20,No
BK00226,CUST4974,1/21/2024,1/30/2024,2/6/2024,Website,Bank Transfer,Gold,Standard,177.8,25,Yes
BK00416,CUST8355,1/21/2024,1/28/2024,2/6/2024,Website,Credit Card,Silver,Standard,1028.38,5,No
BK00473,CUST1995,1/21/2024,1/29/2024,2/3/2024,Third-Party OTA,Bank Transfer,Gold,Suite,1300.13,25,No
BK00143,CUST9424,1/22/2024,2/10/2024,2/17/2024,Third-Party OTA,Bank Transfer,Silver,Standard,1474.49,20,Yes
BK00211,CUST5420,1/22/2024,2/18/2024,2/25/2024,Website,Points Redemption,Gold,Presidential Suite,1300.6,5,Yes
BK00243,CUST5938,1/22/2024,2/10/2024,2/15/2024,Third-Party OTA,PayPal,Non-Member,Suite,151.03,20,No
BK00263,CUST5791,1/22/2024,2/5/2024,2/9/2024,Third-Party OTA,Points Redemption,Ambassador,Presidential Suite,1185.53,25,No
BK00310,CUST5744,1/22/2024,2/13/2024,2/14/2024,Third-Party OTA,PayPal,Titanium,Deluxe,645.6,0,No
BK00359,CUST6662,1/22/2024,2/11/2024,2/14/2024,Third-Party OTA,PayPal,Titanium,Deluxe,1133.9,25,No
BK00038,CUST2933,1/23/2024,2/11/2024,2/13/2024,Website,PayPal,Non-Member,Deluxe,516.05,10,No
BK00453,CUST3429,1/23/2024,2/1/2024,2/9/2024,Website,Points Redemption,Platinum,Suite,1382.96,25,No
BK00084,CUST8762,1/24/2024,2/17/2024,2/26/2024,Third-Party OTA,PayPal,Gold,Deluxe,515.4,15,No
BK00088,CUST9101,1/24/2024,2/15/2024,2/17/2024,Website,Points Redemption,Titanium,Presidential Suite,1085.48,0,No
BK00105,CUST5930,1/24/2024,2/22/2024,2/28/2024,Third-Party OTA,Bank Transfer,Titanium,Deluxe,807.57,5,No
BK00173,CUST7127,1/24/2024,1/28/2024,2/6/2024,Third-Party OTA,Credit Card,Non-Member,Suite,800.48,15,No
BK00368,CUST8811,1/24/2024,2/12/2024,2/21/2024,Mobile App,Points Redemption,Ambassador,Suite,513.4,10,No
BK00396,CUST1693,1/24/2024,2/9/2024,2/13/2024,Third-Party OTA,Bank Transfer,Titanium,Deluxe,112.35,0,Yes
BK00417,CUST2555,1/24/2024,1/30/2024,1/31/2024,Mobile App,Points Redemption,Gold,Standard,1498.06,10,Yes
BK00418,CUST3924,1/24/2024,2/23/2024,3/2/2024,Mobile App,Bank Transfer,Platinum,Presidential Suite,699.42,25,No
BK00071,CUST4182,1/25/2024,2/7/2024,2/12/2024,Mobile App,Credit Card,Silver,Standard,411.62,20,No
BK00128,CUST7602,1/25/2024,2/10/2024,2/12/2024,Website,PayPal,Non-Member,Standard,269.2,15,No
BK00256,CUST4143,1/25/2024,2/12/2024,2/20/2024,Third-Party OTA,Credit Card,Non-Member,Suite,656.28,10,No
BK00399,CUST6894,1/25/2024,2/19/2024,2/27/2024,Mobile App,Bank Transfer,Gold,Suite,987.5,15,Yes
BK00435,CUST8720,1/25/2024,2/11/2024,2/14/2024,Mobile App,Bank Transfer,Titanium,Deluxe,1457.62,15,No
BK00152,CUST8323,1/26/2024,2/19/2024,2/26/2024,Website,Bank Transfer,Ambassador,Standard,1232.91,5,Yes
BK00352,CUST9803,1/26/2024,2/2/2024,2/10/2024,Third-Party OTA,Points Redemption,Non-Member,Deluxe,737.27,20,Yes
BK00375,CUST3163,1/26/2024,2/19/2024,2/23/2024,Mobile App,Credit Card,Platinum,Presidential Suite,597.05,10,Yes
BK00376,CUST8932,1/26/2024,2/17/2024,2/18/2024,Website,Credit Card,Ambassador,Presidential Suite,339.9,10,No
BK00064,CUST5937,1/27/2024,2/11/2024,2/12/2024,Mobile App,Bank Transfer,Platinum,Presidential Suite,1338.07,0,Yes
BK00123,CUST5135,1/27/2024,2/23/2024,2/27/2024,Third-Party OTA,Bank Transfer,Platinum,Standard,244.77,15,Yes
BK00331,CUST3535,1/27/2024,2/24/2024,2/29/2024,Mobile App,Bank Transfer,Titanium,Suite,349.52,15,No
BK00366,CUST3562,1/27/2024,2/1/2024,2/11/2024,Third-Party OTA,Points Redemption,Titanium,Suite,904.72,15,No
BK00033,CUST9894,1/28/2024,2/9/2024,2/17/2024,Third-Party OTA,PayPal,Silver,Presidential Suite,761.26,0,Yes
BK00230,CUST6306,1/28/2024,2/5/2024,2/9/2024,Mobile App,Credit Card,Ambassador,Deluxe,1266.67,5,No
BK00295,CUST5636,1/28/2024,2/13/2024,2/22/2024,Website,PayPal,Gold,Standard,243.39,25,No
BK00337,CUST3431,1/28/2024,1/29/2024,2/1/2024,Website,Bank Transfer,Platinum,Standard,990.53,15,No
BK00364,CUST6219,1/28/2024,2/21/2024,2/23/2024,Mobile App,Bank Transfer,Non-Member,Presidential Suite,1095.7,5,No
BK00487,CUST1590,1/28/2024,2/13/2024,2/14/2024,Third-Party OTA,PayPal,Platinum,Standard,1043.84,15,Yes
BK00021,CUST9647,1/29/2024,2/7/2024,2/15/2024,Website,Credit Card,Platinum,Presidential Suite,1295.23,25,No
BK00058,CUST2249,1/29/2024,2/3/2024,2/11/2024,Mobile App,Bank Transfer,Silver,Suite,1409.73,5,No
BK00101,CUST1982,1/29/2024,2/14/2024,2/23/2024,Website,Credit Card,Silver,Deluxe,1336.46,25,No
BK00127,CUST5414,1/29/2024,2/7/2024,2/12/2024,Mobile App,Points Redemption,Ambassador,Standard,1342.28,0,Yes
BK00424,CUST3943,1/29/2024,2/17/2024,2/19/2024,Mobile App,Credit Card,Titanium,Standard,966.37,15,No
BK00457,CUST4412,1/29/2024,2/20/2024,2/23/2024,Mobile App,Points Redemption,Gold,Suite,146.7,20,Yes
BK00469,CUST1514,1/29/2024,2/27/2024,3/2/2024,Mobile App,Bank Transfer,Silver,Deluxe,1288.57,10,No
BK00001,CUST2856,1/30/2024,2/22/2024,2/29/2024,Website,Credit Card,Non-Member,Standard,510.03,5,Yes
BK00046,CUST1190,1/30/2024,2/23/2024,2/27/2024,Website,Points Redemption,Gold,Presidential Suite,1137.07,0,Yes
BK00140,CUST4846,1/30/2024,2/27/2024,3/2/2024,Website,PayPal,Non-Member,Deluxe,189.15,0,No
BK00233,CUST4647,1/30/2024,2/8/2024,2/13/2024,Website,PayPal,Ambassador,Deluxe,1042.37,15,Yes
BK00239,CUST4036,1/30/2024,2/24/2024,3/1/2024,Website,PayPal,Platinum,Deluxe,595.3,5,Yes
BK00051,CUST9384,1/31/2024,2/22/2024,2/28/2024,Third-Party OTA,Credit Card,Titanium,Deluxe,413.42,25,Yes
BK00095,CUST2587,1/31/2024,2/20/2024,2/29/2024,Mobile App,Credit Card,Platinum,Deluxe,1178.2,15,No
BK00117,CUST8334,1/31/2024,2/3/2024,2/4/2024,Third-Party OTA,PayPal,Ambassador,Presidential Suite,645.33,15,Yes
BK00213,CUST6721,1/31/2024,2/27/2024,3/6/2024,Third-Party OTA,Bank Transfer,Non-Member,Deluxe,633.85,15,No
BK00302,CUST7847,1/31/2024,2/9/2024,2/17/2024,Third-Party OTA,Credit Card,Titanium,Standard,902.6,10,Yes
BK00318,CUST1385,1/31/2024,2/23/2024,2/28/2024,Website,PayPal,Platinum,Presidential Suite,759.58,20,Yes
BK00420,CUST5868,1/31/2024,2/20/2024,2/26/2024,Third-Party OTA,Credit Card,Titanium,Standard,1404.69,5,Yes
BK00491,CUST7770,1/31/2024,2/13/2024,2/22/2024,Website,Bank Transfer,Platinum,Suite,613.37,5,No
BK00029,CUST8683,2/1/2024,2/19/2024,2/21/2024,Third-Party OTA,Credit Card,Titanium,Standard,1369.05,20,Yes
BK00154,CUST6015,2/1/2024,2/14/2024,2/23/2024,Mobile App,PayPal,Silver,Standard,549.1,10,No
BK00193,CUST6357,2/1/2024,3/1/2024,3/9/2024,Website,Points Redemption,Gold,Standard,728.04,15,No
BK00278,CUST3717,2/1/2024,2/25/2024,2/27/2024,Third-Party OTA,Bank Transfer,Titanium,Presidential Suite,119.82,15,No
BK00294,CUST4616,2/1/2024,2/5/2024,2/9/2024,Website,PayPal,Platinum,Deluxe,290.5,20,Yes
BK00300,CUST6473,2/1/2024,3/1/2024,3/7/2024,Website,Credit Card,Platinum,Suite,1482.83,25,No
